Date,District,Crop,Price,MonthNum,Season,Year
2022-07-28,Kandy,Okra,180.0,7,Yala,2022
2022-07-28,Matale,Beans,325.0,7,Yala,2022
2022-07-28,Matale,Cabbage,185.0,7,Yala,2022
2022-07-28,Matale,Carrots,195.0,7,Yala,2022
2022-07-28,Matale,Leeks,125.0,7,Yala,2022
2022-07-28,Matale,Okra,155.0,7,Yala,2022
2022-08-09,Kandy,Beans,375.0,8,Yala,2022
2022-08-09,Kandy,Cabbage,225.0,8,Yala,2022
2022-08-09,Kandy,Carrots,255.0,8,Yala,2022
2022-08-09,Kandy,Leeks,155.0,8,Yala,2022
2022-08-09,Kandy,Okra,85.0,8,Yala,2022
2022-08-09,Matale,Beans,405.0,8,Yala,2022
2022-08-09,Matale,Cabbage,235.0,8,Yala,2022
2022-08-09,Matale,Carrots,260.0,8,Yala,2022
2022-08-09,Matale,Leeks,155.0,8,Yala,2022
2022-08-09,Matale,Okra,65.0,8,Yala,2022
2022-08-12,Kandy,Beans,135.0,8,Yala,2022
2022-08-12,Kandy,Cabbage,145.0,8,Yala,2022
2022-08-12,Kandy,Carrots,265.0,8,Yala,2022
2022-08-12,Kandy,Leeks,340.0,8,Yala,2022
2022-08-12,Kandy,Okra,95.0,8,Yala,2022
2022-08-12,Matale,Beans,115.0,8,Yala,2022
2022-08-12,Matale,Cabbage,130.0,8,Yala,2022
2022-08-12,Matale,Carrots,275.0,8,Yala,2022
2022-08-12,Matale,Leeks,350.0,8,Yala,2022
2022-08-12,Matale,Okra,45.0,8,Yala,2022
2022-08-18,Kandy,Beans,440.0,8,Yala,2022
2022-08-18,Kandy,Cabbage,305.0,8,Yala,2022
2022-08-18,Kandy,Carrots,295.0,8,Yala,2022
2022-08-18,Kandy,Leeks,190.0,8,Yala,2022
2022-08-18,Kandy,Okra,120.0,8,Yala,2022
2022-08-18,Matale,Beans,335.0,8,Yala,2022
2022-08-18,Matale,Cabbage,325.0,8,Yala,2022
2022-08-18,Matale,Carrots,290.0,8,Yala,2022
2022-08-18,Matale,Leeks,190.0,8,Yala,2022
2022-08-18,Matale,Okra,125.0,8,Yala,2022
2022-08-25,Kandy,Beans,190.0,8,Yala,2022
2022-08-25,Kandy,Cabbage,355.0,8,Yala,2022
2022-08-25,Kandy,Carrots,255.0,8,Yala,2022
2022-08-25,Kandy,Leeks,145.0,8,Yala,2022
2022-08-25,Kandy,Okra,85.0,8,Yala,2022
2022-08-25,Matale,Beans,200.0,8,Yala,2022
2022-08-25,Matale,Cabbage,325.0,8,Yala,2022
2022-08-25,Matale,Carrots,275.0,8,Yala,2022
2022-08-25,Matale,Leeks,190.0,8,Yala,2022
2022-08-25,Matale,Okra,55.0,8,Yala,2022
2022-09-06,Kandy,Beans,540.0,9,Yala,2022
2022-09-06,Kandy,Cabbage,235.0,9,Yala,2022
2022-09-06,Kandy,Carrots,270.0,9,Yala,2022
2022-09-06,Kandy,Leeks,180.0,9,Yala,2022
2022-09-06,Kandy,Okra,230.0,9,Yala,2022
2022-09-06,Matale,Beans,575.0,9,Yala,2022
2022-09-06,Matale,Cabbage,235.0,9,Yala,2022
2022-09-06,Matale,Carrots,245.0,9,Yala,2022
2022-09-06,Matale,Leeks,140.0,9,Yala,2022
2022-09-06,Matale,Okra,235.0,9,Yala,2022
2022-09-15,Kandy,Beans,390.0,9,Yala,2022
2022-09-15,Kandy,Cabbage,260.0,9,Yala,2022
2022-09-15,Kandy,Carrots,290.0,9,Yala,2022
2022-09-15,Kandy,Leeks,225.0,9,Yala,2022
2022-09-15,Kandy,Okra,105.0,9,Yala,2022
2022-09-15,Matale,Beans,475.0,9,Yala,2022
2022-09-15,Matale,Cabbage,265.0,9,Yala,2022
2022-09-15,Matale,Carrots,285.0,9,Yala,2022
2022-09-15,Matale,Leeks,205.0,9,Yala,2022
2022-09-15,Matale,Okra,75.0,9,Yala,2022
2022-09-22,Kandy,Beans,275.0,9,Yala,2022
2022-09-22,Kandy,Cabbage,335.0,9,Yala,2022
2022-09-22,Kandy,Carrots,310.0,9,Yala,2022
2022-09-22,Kandy,Leeks,215.0,9,Yala,2022
2022-09-22,Kandy,Okra,125.0,9,Yala,2022
2022-09-22,Matale,Beans,275.0,9,Yala,2022
2022-09-22,Matale,Cabbage,305.0,9,Yala,2022
2022-09-22,Matale,Carrots,285.0,9,Yala,2022
2022-09-22,Matale,Leeks,220.0,9,Yala,2022
2022-09-22,Matale,Okra,100.0,9,Yala,2022
2022-09-29,Kandy,Beans,240.0,9,Yala,2022
2022-09-29,Kandy,Cabbage,295.0,9,Yala,2022
2022-09-29,Kandy,Carrots,260.0,9,Yala,2022
2022-09-29,Kandy,Leeks,210.0,9,Yala,2022
2022-09-29,Kandy,Okra,110.0,9,Yala,2022
2022-09-29,Matale,Beans,215.0,9,Yala,2022
2022-09-29,Matale,Cabbage,280.0,9,Yala,2022
2022-09-29,Matale,Carrots,305.0,9,Yala,2022
2022-09-29,Matale,Leeks,210.0,9,Yala,2022
2022-09-29,Matale,Okra,85.0,9,Yala,2022
2022-10-02,Kandy,Beans,190.0,10,Maha,2022
2022-10-02,Kandy,Cabbage,165.0,10,Maha,2022
2022-10-02,Kandy,Carrots,370.0,10,Maha,2022
2022-10-02,Kandy,Leeks,145.0,10,Maha,2022
2022-10-02,Kandy,Okra,170.0,10,Maha,2022
2022-10-02,Matale,Beans,185.0,10,Maha,2022
2022-10-02,Matale,Cabbage,165.0,10,Maha,2022
2022-10-02,Matale,Carrots,380.0,10,Maha,2022
2022-10-02,Matale,Leeks,165.0,10,Maha,2022
2022-10-02,Matale,Okra,155.0,10,Maha,2022
2022-10-03,Kandy,Beans,190.0,10,Maha,2022
2022-10-03,Kandy,Cabbage,75.0,10,Maha,2022
2022-10-03,Kandy,Carrots,290.0,10,Maha,2022
2022-10-03,Kandy,Leeks,85.0,10,Maha,2022
2022-10-03,Kandy,Okra,95.0,10,Maha,2022
2022-10-03,Matale,Beans,200.0,10,Maha,2022
2022-10-03,Matale,Cabbage,73.0,10,Maha,2022
2022-10-03,Matale,Carrots,240.0,10,Maha,2022
2022-10-03,Matale,Leeks,85.0,10,Maha,2022
2022-10-03,Matale,Okra,85.0,10,Maha,2022
2022-10-11,Kandy,Beans,290.0,10,Maha,2022
2022-10-11,Kandy,Cabbage,155.0,10,Maha,2022
2022-10-11,Kandy,Carrots,285.0,10,Maha,2022
2022-10-11,Kandy,Leeks,230.0,10,Maha,2022
2022-10-11,Kandy,Okra,135.0,10,Maha,2022
2022-10-11,Matale,Beans,250.0,10,Maha,2022
2022-10-11,Matale,Cabbage,165.0,10,Maha,2022
2022-10-11,Matale,Carrots,300.0,10,Maha,2022
2022-10-11,Matale,Leeks,210.0,10,Maha,2022
2022-10-11,Matale,Okra,85.0,10,Maha,2022
2022-10-13,Kandy,Beans,365.0,10,Maha,2022
2022-10-13,Kandy,Cabbage,240.0,10,Maha,2022
2022-10-13,Kandy,Carrots,310.0,10,Maha,2022
2022-10-13,Kandy,Leeks,210.0,10,Maha,2022
2022-10-13,Kandy,Okra,135.0,10,Maha,2022
2022-10-13,Matale,Beans,325.0,10,Maha,2022
2022-10-13,Matale,Cabbage,245.0,10,Maha,2022
2022-10-13,Matale,Carrots,285.0,10,Maha,2022
2022-10-13,Matale,Leeks,215.0,10,Maha,2022
2022-10-13,Matale,Okra,95.0,10,Maha,2022
2022-10-20,Kandy,Beans,255.0,10,Maha,2022
2022-10-20,Kandy,Cabbage,160.0,10,Maha,2022
2022-10-20,Kandy,Carrots,265.0,10,Maha,2022
2022-10-20,Kandy,Leeks,190.0,10,Maha,2022
2022-10-20,Kandy,Okra,115.0,10,Maha,2022
2022-10-20,Matale,Beans,265.0,10,Maha,2022
2022-10-20,Matale,Cabbage,170.0,10,Maha,2022
2022-10-20,Matale,Carrots,275.0,10,Maha,2022
2022-10-20,Matale,Leeks,210.0,10,Maha,2022
2022-10-20,Matale,Okra,75.0,10,Maha,2022
2022-10-27,Kandy,Beans,265.0,10,Maha,2022
2022-10-27,Kandy,Cabbage,145.0,10,Maha,2022
2022-10-27,Kandy,Carrots,285.0,10,Maha,2022
2022-10-27,Kandy,Leeks,190.0,10,Maha,2022
2022-10-27,Kandy,Okra,125.0,10,Maha,2022
2022-10-27,Matale,Beans,275.0,10,Maha,2022
2022-10-27,Matale,Cabbage,150.0,10,Maha,2022
2022-10-27,Matale,Carrots,275.0,10,Maha,2022
2022-10-27,Matale,Leeks,225.0,10,Maha,2022
2022-10-27,Matale,Okra,90.0,10,Maha,2022
2022-11-08,Kandy,Beans,415.0,11,Maha,2022
2022-11-08,Kandy,Cabbage,190.0,11,Maha,2022
2022-11-08,Kandy,Carrots,240.0,11,Maha,2022
2022-11-08,Kandy,Leeks,110.0,11,Maha,2022
2022-11-08,Kandy,Okra,145.0,11,Maha,2022
2022-11-08,Matale,Beans,475.0,11,Maha,2022
2022-11-08,Matale,Cabbage,260.0,11,Maha,2022
2022-11-08,Matale,Carrots,240.0,11,Maha,2022
2022-11-08,Matale,Leeks,115.0,11,Maha,2022
2022-11-08,Matale,Okra,140.0,11,Maha,2022
2022-11-17,Kandy,Beans,365.0,11,Maha,2022
2022-11-17,Kandy,Cabbage,125.0,11,Maha,2022
2022-11-17,Kandy,Carrots,360.0,11,Maha,2022
2022-11-17,Kandy,Leeks,230.0,11,Maha,2022
2022-11-17,Kandy,Okra,130.0,11,Maha,2022
2022-11-17,Matale,Beans,335.0,11,Maha,2022
2022-11-17,Matale,Cabbage,125.0,11,Maha,2022
2022-11-17,Matale,Carrots,365.0,11,Maha,2022
2022-11-17,Matale,Leeks,215.0,11,Maha,2022
2022-11-17,Matale,Okra,130.0,11,Maha,2022
2022-11-24,Kandy,Beans,335.0,11,Maha,2022
2022-11-24,Kandy,Cabbage,290.0,11,Maha,2022
2022-11-24,Kandy,Carrots,365.0,11,Maha,2022
2022-11-24,Kandy,Leeks,215.0,11,Maha,2022
2022-11-24,Kandy,Okra,150.0,11,Maha,2022
2022-11-24,Matale,Beans,335.0,11,Maha,2022
2022-11-24,Matale,Cabbage,150.0,11,Maha,2022
2022-11-24,Matale,Carrots,335.0,11,Maha,2022
2022-11-24,Matale,Leeks,215.0,11,Maha,2022
2022-11-24,Matale,Okra,95.0,11,Maha,2022
2022-12-15,Kandy,Beans,425.0,12,Maha,2022
2022-12-15,Kandy,Cabbage,125.0,12,Maha,2022
2022-12-15,Kandy,Carrots,270.0,12,Maha,2022
2022-12-15,Kandy,Leeks,310.0,12,Maha,2022
2022-12-15,Kandy,Okra,125.0,12,Maha,2022
2022-12-15,Matale,Beans,375.0,12,Maha,2022
2022-12-15,Matale,Cabbage,100.0,12,Maha,2022
2022-12-15,Matale,Carrots,260.0,12,Maha,2022
2022-12-15,Matale,Leeks,325.0,12,Maha,2022
2022-12-15,Matale,Okra,85.0,12,Maha,2022
2022-12-22,Kandy,Beans,440.0,12,Maha,2022
2022-12-22,Kandy,Cabbage,125.0,12,Maha,2022
2022-12-22,Kandy,Carrots,250.0,12,Maha,2022
2022-12-22,Kandy,Leeks,330.0,12,Maha,2022
2022-12-22,Kandy,Okra,130.0,12,Maha,2022
2022-12-22,Matale,Beans,410.0,12,Maha,2022
2022-12-22,Matale,Cabbage,95.0,12,Maha,2022
2022-12-22,Matale,Carrots,255.0,12,Maha,2022
2022-12-22,Matale,Leeks,315.0,12,Maha,2022
2022-12-22,Matale,Okra,90.0,12,Maha,2022
2022-12-29,Kandy,Beans,565.0,12,Maha,2022
2022-12-29,Kandy,Cabbage,125.0,12,Maha,2022
2022-12-29,Kandy,Carrots,290.0,12,Maha,2022
2022-12-29,Kandy,Leeks,390.0,12,Maha,2022
2022-12-29,Kandy,Okra,140.0,12,Maha,2022
2022-12-29,Matale,Beans,325.0,12,Maha,2022
2022-12-29,Matale,Cabbage,85.0,12,Maha,2022
2022-12-29,Matale,Carrots,200.0,12,Maha,2022
2022-12-29,Matale,Leeks,300.0,12,Maha,2022
2022-12-29,Matale,Okra,95.0,12,Maha,2022
2023-01-12,Kandy,Beans,325.0,1,Maha,2023
2023-01-12,Kandy,Cabbage,95.0,1,Maha,2023
2023-01-12,Kandy,Carrots,155.0,1,Maha,2023
2023-01-12,Kandy,Leeks,205.0,1,Maha,2023
2023-01-12,Kandy,Okra,145.0,1,Maha,2023
2023-01-12,Matale,Beans,275.0,1,Maha,2023
2023-01-12,Matale,Cabbage,60.0,1,Maha,2023
2023-01-12,Matale,Carrots,140.0,1,Maha,2023
2023-01-12,Matale,Leeks,210.0,1,Maha,2023
2023-01-12,Matale,Okra,130.0,1,Maha,2023
2023-01-19,Kandy,Beans,420.0,1,Maha,2023
2023-01-19,Kandy,Cabbage,75.0,1,Maha,2023
2023-01-19,Kandy,Carrots,170.0,1,Maha,2023
2023-01-19,Kandy,Leeks,270.0,1,Maha,2023
2023-01-19,Kandy,Okra,195.0,1,Maha,2023
2023-01-19,Matale,Beans,375.0,1,Maha,2023
2023-01-19,Matale,Cabbage,43.0,1,Maha,2023
2023-01-19,Matale,Carrots,130.0,1,Maha,2023
2023-01-19,Matale,Leeks,230.0,1,Maha,2023
2023-01-19,Matale,Okra,140.0,1,Maha,2023
2023-01-26,Kandy,Beans,375.0,1,Maha,2023
2023-01-26,Kandy,Cabbage,60.0,1,Maha,2023
2023-01-26,Kandy,Carrots,115.0,1,Maha,2023
2023-01-26,Kandy,Leeks,240.0,1,Maha,2023
2023-01-26,Kandy,Okra,190.0,1,Maha,2023
2023-01-26,Matale,Beans,210.0,1,Maha,2023
2023-01-26,Matale,Cabbage,43.0,1,Maha,2023
2023-01-26,Matale,Carrots,120.0,1,Maha,2023
2023-01-26,Matale,Leeks,200.0,1,Maha,2023
2023-01-26,Matale,Okra,170.0,1,Maha,2023
2023-02-02,Kandy,Beans,435.0,2,Maha,2023
2023-02-02,Kandy,Cabbage,60.0,2,Maha,2023
2023-02-02,Kandy,Carrots,100.0,2,Maha,2023
2023-02-02,Kandy,Leeks,180.0,2,Maha,2023
2023-02-02,Kandy,Okra,210.0,2,Maha,2023
2023-02-02,Matale,Beans,350.0,2,Maha,2023
2023-02-02,Matale,Cabbage,33.0,2,Maha,2023
2023-02-02,Matale,Carrots,105.0,2,Maha,2023
2023-02-02,Matale,Leeks,145.0,2,Maha,2023
2023-02-02,Matale,Okra,165.0,2,Maha,2023
2023-02-09,Kandy,Beans,390.0,2,Maha,2023
2023-02-09,Kandy,Cabbage,60.0,2,Maha,2023
2023-02-09,Kandy,Carrots,110.0,2,Maha,2023
2023-02-09,Kandy,Leeks,175.0,2,Maha,2023
2023-02-09,Kandy,Okra,210.0,2,Maha,2023
2023-02-09,Matale,Beans,325.0,2,Maha,2023
2023-02-09,Matale,Cabbage,35.0,2,Maha,2023
2023-02-09,Matale,Carrots,110.0,2,Maha,2023
2023-02-09,Matale,Leeks,185.0,2,Maha,2023
2023-02-09,Matale,Okra,155.0,2,Maha,2023
2023-02-16,Kandy,Beans,365.0,2,Maha,2023
2023-02-16,Kandy,Cabbage,60.0,2,Maha,2023
2023-02-16,Kandy,Carrots,110.0,2,Maha,2023
2023-02-16,Kandy,Leeks,190.0,2,Maha,2023
2023-02-16,Kandy,Okra,205.0,2,Maha,2023
2023-02-16,Matale,Beans,365.0,2,Maha,2023
2023-02-16,Matale,Cabbage,35.0,2,Maha,2023
2023-02-16,Matale,Carrots,105.0,2,Maha,2023
2023-02-16,Matale,Leeks,200.0,2,Maha,2023
